date,AAPL,MSFT,GOOG
2015-12-03,28.799999,49.5887,752.54
2015-12-04,29.7575,51.1532,766.81
2015-12-07,29.57,51.0617,763.25
2015-12-08,29.557501,51.0434,762.37
2015-12-09,28.905001,50.3024,751.61
2015-12-10,29.0425,50.5677,749.46
2015-12-11,28.295,49.4606,738.87
2015-12-14,28.120001,50.4487,747.77
2015-12-15,27.622499,50.5036,743.4
2015-12-16,27.834999,51.3545,758.09
2015-12-17,27.245001,50.9611,749.43
2015-12-18,26.5075,49.5247,739.31
2015-12-21,26.8325,50.1651,747.77
2015-12-22,26.807501,50.6409,750.0
2015-12-23,27.1525,51.0709,750.31
2015-12-24,27.0075,50.9336,748.4
2015-12-28,26.705,51.1898,762.51
2015-12-29,27.184999,51.7388,776.6
2015-12-30,26.83,51.5192,771.0
2015-12-31,26.315001,50.7598,758.88
2016-01-04,26.3375,50.1377,741.84
2016-01-05,25.6775,50.3664,742.58
2016-01-06,25.174999,49.4515,743.62
2016-01-07,24.112499,47.7314,726.39
2016-01-08,24.24,47.8778,714.47
2016-01-11,24.6325,47.8504,716.03
2016-01-12,24.99,48.2895,726.07
2016-01-13,24.3475,47.2465,700.56
2016-01-14,24.879999,48.5914,714.72
2016-01-15,24.282499,46.6518,694.45
2016-01-19,24.165001,46.2584,701.79
2016-01-20,24.1975,46.4688,698.45
2016-01-21,24.075001,46.1852,706.59
2016-01-22,25.355,47.8412,725.25
2016-01-25,24.860001,47.3837,711.67
2016-01-26,24.997499,47.7314,713.04
2016-01-27,23.355,46.8622,699.99
2016-01-28,23.522499,47.6308,730.96
2016-01-29,24.334999,50.403,742.95
2016-02-01,24.1075,50.0553,752.0
2016-02-02,23.620001,48.4908,764.65
2016-02-03,24.0875,47.7223,726.95
2016-02-04,24.15,47.5759,708.01
2016-02-05,23.504999,45.8924,683.57
2016-02-08,23.752501,45.2062,682.74
2016-02-09,23.747499,45.0873,678.11
2016-02-10,23.567499,45.4807,684.12
2016-02-11,23.424999,45.4624,683.11
2016-02-12,23.497499,46.2035,682.4
2016-02-16,24.16,47.0789,691.0
2016-02-17,24.530001,48.3045,708.4
2016-02-18,24.065001,48.0926,697.35
2016-02-19,24.01,47.7516,700.91
2016-02-22,24.219999,48.5164,706.46
2016-02-23,23.672501,47.1619,695.85
2016-02-24,24.025,47.3277,699.56
2016-02-25,24.190001,48.0096,705.75
2016-02-26,24.227501,47.2724,705.07
2016-02-29,24.172501,46.8854,697.77
2016-03-01,25.1325,48.4519,718.81
2016-03-02,25.1875,48.7929,718.85
2016-03-03,25.375,48.24,712.42
2016-03-04,25.752501,47.9451,710.89
2016-03-07,25.467501,47.0236,695.16
2016-03-08,25.2575,47.595,693.97
2016-03-09,25.280001,48.6915,705.24
2016-03-10,25.2925,47.9636,712.82
2016-03-11,25.565001,48.9035,726.82
2016-03-14,25.629999,48.9956,730.49
2016-03-15,26.145,49.3826,728.33
2016-03-16,26.4925,50.083,736.09
2016-03-17,26.450001,50.3686,737.78
2016-03-18,26.48,49.2905,737.6
2016-03-21,26.477501,49.6314,742.09
2016-03-22,26.68,49.825,740.75
2016-03-23,26.532499,49.7328,738.06
2016-03-24,26.4175,49.95399999999999,735.3
2016-03-28,26.297501,49.3366,733.53
2016-03-29,26.92,50.4147,744.77
2016-03-30,27.389999,50.728,750.53
2016-03-31,27.247499,50.8939,744.95
2016-04-01,27.497499,51.2072,749.91
2016-04-04,27.780001,51.0782,745.29
2016-04-05,27.452499,50.2765,737.8
2016-04-06,27.74,50.7925,745.69
2016-04-07,27.135,50.1843,740.28
2016-04-08,27.165001,50.1475,739.15
2016-04-11,27.254999,50.0461,736.1
2016-04-12,27.610001,50.3594,743.09
2016-04-13,28.01,51.0045,751.72
2016-04-14,28.025,51.0137,753.2
2016-04-15,27.4625,51.2809,759.0
2016-04-18,26.870001,52.0273,766.61
2016-04-19,26.727501,51.9628,753.93
2016-04-20,26.782499,51.2256,752.67
2016-04-21,26.4925,51.4007,759.14
2016-04-22,26.42,47.7147,718.77
2016-04-25,26.27,48.0188,723.15
2016-04-26,26.0875,47.4014,708.14
2016-04-27,24.455,46.9407,705.84
2016-04-28,23.7075,45.9823,691.02
2016-04-29,23.434999,45.9547,693.01
2016-05-02,23.41,46.6366,698.21
2016-05-03,23.795,45.8718,692.36
2016-05-04,23.547501,45.9547,695.7
2016-05-05,23.309999,46.0192,701.43
2016-05-06,23.18,46.4339,711.12
2016-05-09,23.1975,46.139,712.9
2016-05-10,23.355,47.0144,723.18
2016-05-11,23.127501,47.0421,715.29
2016-05-12,22.584999,47.4659,713.31
2016-05-13,22.629999,47.0697,710.83
2016-05-16,23.469999,47.7608,716.49
2016-05-17,23.372499,46.87,706.23
2016-05-18,23.639999,47.1484,706.63
2016-05-19,23.549999,46.6937,700.32
2016-05-20,23.805,46.9721,709.74
2016-05-23,24.1075,46.4246,704.24
2016-05-24,24.475,47.8722,720.09
2016-05-25,24.905001,48.364,725.27
2016-05-26,25.102501,48.1506,724.12
2016-05-27,25.0875,48.5496,732.66
2016-05-31,24.965,49.1806,735.72
2016-06-01,24.615,49.0414,734.15
2016-06-02,24.43,48.698,730.4
2016-06-03,24.48,48.0578,722.34
2016-06-06,24.657499,48.3733,716.55
2016-06-07,24.7575,48.3454,716.65
2016-06-08,24.735001,48.2897,728.28
2016-06-09,24.9125,47.9,728.58
2016-06-10,24.7075,47.7701,719.41
2016-06-13,24.334999,46.5267,718.36
2016-06-14,24.365,46.239,718.27
2016-06-15,24.285,46.1091,718.92
2016-06-16,24.387501,46.7587,710.36
2016-06-17,23.8325,46.5174,691.72
2016-06-20,23.775,46.4617,693.71
2016-06-21,23.977501,47.50100000000001,695.94
2016-06-22,23.887501,47.3154,697.46
2016-06-23,24.025,48.1691,701.87
2016-06-24,23.35,46.239,675.22
2016-06-27,23.01,44.9399,668.26
2016-06-28,23.397499,45.8771,680.04
2016-06-29,23.6,46.8978,684.11
2016-06-30,23.9,47.4824,692.1
2016-07-01,23.9725,47.4732,699.21
2016-07-05,23.747499,47.4824,694.95
2016-07-06,23.8825,47.6773,697.77
2016-07-07,23.985001,47.6773,695.36
2016-07-08,24.17,48.53100000000001,705.63
2016-07-11,24.245001,48.8001,715.09
2016-07-12,24.355,49.3754,720.64
2016-07-13,24.217501,49.6538,716.98
2016-07-14,24.6975,49.8672,720.95
2016-07-15,24.695,49.8301,719.85
2016-07-18,24.9575,50.0714,733.78
2016-07-19,24.967501,49.2641,736.96
2016-07-20,24.99,51.8809,741.19
2016-07-21,24.8575,51.7788,738.63
2016-07-22,24.665001,52.4933,742.74
2016-07-25,24.334999,52.6418,739.77
2016-07-26,24.1675,52.6696,738.42
2016-07-27,25.737499,52.1407,741.77
2016-07-28,26.084999,52.1592,745.91
2016-07-29,26.0525,52.5954,768.79
2016-08-01,26.512501,52.5026,772.88
2016-08-02,26.120001,52.5026,771.07
2016-08-03,26.4475,52.8645,773.18
2016-08-04,26.467501,53.2542,771.61
2016-08-05,26.870001,53.7831,782.22
2016-08-08,27.092501,53.8759,781.76
2016-08-09,27.202499,54.0058,784.26
2016-08-10,27.0,53.8388,784.68
2016-08-11,26.9825,54.0986,784.85
2016-08-12,27.045,53.7646,783.22
2016-08-15,27.370001,53.9316,782.44
2016-08-16,27.344999,53.6328,777.14
2016-08-17,27.305,53.7448,779.91
2016-08-18,27.27,53.7822,777.5
2016-08-19,27.34,53.8009,775.42
2016-08-22,27.127501,53.8476,772.15
2016-08-23,27.2125,54.053,772.08
2016-08-24,27.0075,54.109,769.64
2016-08-25,26.8925,54.3144,769.41
2016-08-26,26.735001,54.1837,769.54
2016-08-29,26.705,54.2491,772.15
2016-08-30,26.5,54.053,769.09
2016-08-31,26.525,53.6515,767.05
2016-09-01,26.682501,53.7729,768.78
2016-09-02,26.932501,53.8476,771.46
2016-09-06,26.924999,53.7915,780.08
2016-09-07,27.09,53.8382,780.35
2016-09-08,26.379999,53.6235,775.32
2016-09-09,25.782499,52.4843,759.66
2016-09-12,26.360001,53.2687,769.02
2016-09-13,26.987499,52.7831,759.69
2016-09-14,27.942499,52.53100000000001,762.49
2016-09-15,28.8925,53.3994,771.76
2016-09-16,28.73,53.4554,768.88
2016-09-19,28.395,53.1566,765.7
2016-09-20,28.3925,53.0446,771.41
2016-09-21,28.387501,53.9316,776.22
2016-09-22,28.655001,53.9876,787.21
2016-09-23,28.1775,53.6235,786.9
2016-09-26,28.219999,53.1286,774.21
2016-09-27,28.272499,54.109,783.01
2016-09-28,28.487499,54.1837,781.56
2016-09-29,28.045,53.5955,775.01
2016-09-30,28.262501,53.7822,777.29
2016-10-03,28.129999,53.6141,772.56
2016-10-04,28.25,53.4461,776.43
2016-10-05,28.262501,53.8195,776.47
2016-10-06,28.4725,53.9129,776.86
2016-10-07,28.514999,53.9689,775.08
2016-10-10,29.012501,54.19300000000001,785.94
2016-10-11,29.075001,53.3994,783.07
2016-10-12,29.334999,53.3247,786.14
2016-10-13,29.245001,53.1473,778.19
2016-10-14,29.407499,53.6141,778.53
2016-10-17,29.387501,53.4274,779.96
2016-10-18,29.3675,53.8382,795.26
2016-10-19,29.280001,53.7168,801.5
2016-10-20,29.264999,53.4554,796.97
